Entity,Code,Day,Unvaccinated,"Fully vaccinated, no booster",Fully vaccinated + booster
40-49,,2021-05-01,0.1864363804495354,0,
40-49,,2021-05-08,0,0,
40-49,,2021-05-15,0,0,
40-49,,2021-05-22,0,0,
40-49,,2021-05-29,0,0,
40-49,,2021-06-05,0,0,
40-49,,2021-06-12,0,0,
40-49,,2021-06-19,0,0,
40-49,,2021-06-26,0.1857334427922423,0,
40-49,,2021-07-03,0,0,
40-49,,2021-07-10,0.1991416992761199,0,
40-49,,2021-07-17,0,0,
40-49,,2021-07-24,0,0,
40-49,,2021-07-31,0,0,
40-49,,2021-08-07,0,0,
40-49,,2021-08-14,0,0,
40-49,,2021-08-21,0,0,
40-49,,2021-08-28,0.2387255873246262,0,
40-49,,2021-09-04,0.4984535478677403,0,
40-49,,2021-09-11,0.2638341433041533,0,
40-49,,2021-09-18,0.28121880228912105,0,
40-49,,2021-09-25,0,0,
40-49,,2021-10-02,0,0,
40-49,,2021-10-09,0,0,
40-49,,2021-10-16,0,0,
40-49,,2021-10-23,0,0,
40-49,,2021-10-30,0.3303830130270022,0,
40-49,,2021-11-06,0,0,0
40-49,,2021-11-13,0,0,0
40-49,,2021-11-20,0.6894625983776945,0,0
40-49,,2021-11-27,0,0,0
40-49,,2021-12-04,0.3533556418528556,0,0
40-49,,2021-12-11,1.435276218908329,0,0
40-49,,2021-12-18,0.364063973321392,0,0
40-49,,2021-12-25,0.7343734509310019,0.1359881853464571,0.5597787754279508
40-49,,2022-01-01,0,0,0
40-49,,2022-01-08,0,0,0
50-59,,2021-01-30,0.07820613886907667,0,
50-59,,2021-02-06,0.07857539662895834,0,
50-59,,2021-02-13,0.07907538731124705,0,
50-59,,2021-02-20,0,0,
50-59,,2021-02-27,0,0,
50-59,,2021-03-06,0.16060490230403793,0,
50-59,,2021-03-13,0.24276519265036473,0,
50-59,,2021-03-20,0.16306470325892963,0,
50-59,,2021-03-27,0.16480451300678417,0,
50-59,,2021-04-03,0.33292189735518524,0,
50-59,,2021-04-10,0.1680361613819294,0,
50-59,,2021-04-17,0.08570691491960263,0,
50-59,,2021-04-24,0,0,
50-59,,2021-05-01,0.47687717932870954,0,
50-59,,2021-05-08,0,0,
50-59,,2021-05-15,0.4753111505619366,0,
50-59,,2021-05-22,0.2698130465400524,0,
50-59,,2021-05-29,0,0.39902637564343,
50-59,,2021-06-05,0.32000153600737286,0,
50-59,,2021-06-12,0.17660418410632986,0,
50-59,,2021-06-19,0,0,
50-59,,2021-06-26,0,0.1606273461631749,
50-59,,2021-07-03,0,0,
50-59,,2021-07-10,0,0,
50-59,,2021-07-17,0,0,
50-59,,2021-07-24,0.23431276067294624,0,
50-59,,2021-07-31,0.24026736952881167,0,
50-59,,2021-08-07,0.2450830218736597,0,
50-59,,2021-08-14,0.2508837379669887,0,
50-59,,2021-08-21,0.2577598606034674,0,
50-59,,2021-08-28,1.068670066818596,0,
50-59,,2021-09-04,0.5559988101625463,0,
50-59,,2021-09-11,1.465356052213567,0.11076098333601006,
50-59,,2021-09-18,0.6218905472636815,0,
50-59,,2021-09-25,1.6270639305959609,0.10759282571038163,
50-59,,2021-10-02,1.341944141575107,0,
50-59,,2021-10-09,0.34333938755120047,0,
50-59,,2021-10-16,0.35111866406370695,0,
50-59,,2021-10-23,0,0,
50-59,,2021-10-30,0,0,0
50-59,,2021-11-06,0.36565878915748556,0,0
50-59,,2021-11-13,0.3719062052550347,0,0
50-59,,2021-11-20,0,0,0
50-59,,2021-11-27,1.1404199026081403,0.1991823564268677,0
50-59,,2021-12-04,0,0,1.759788825340959
50-59,,2021-12-11,0.7806645016237822,0.336820548748038,0
50-59,,2021-12-18,1.583750717637044,0.1271873036546,0.405684450520696
50-59,,2021-12-25,0.7983458274455328,0.14114226434534688,0
50-59,,2022-01-01,2.0064849593887444,0,0
50-59,,2022-01-08,0.8081559094380488,0.17836630731801287,0
60-69,,2021-01-30,0,0,
60-69,,2021-02-06,0.8538497416570875,0,
60-69,,2021-02-13,0.7536598259476465,0,
60-69,,2021-02-20,0.43421058344876096,0,
60-69,,2021-02-27,0.1092537965694308,0,
60-69,,2021-03-06,0.6619528270350361,0,
60-69,,2021-03-13,0.6709233022844938,0,
60-69,,2021-03-20,0.4545253108100891,0,
60-69,,2021-03-27,0.4662857888914405,0,
60-69,,2021-04-03,0.8405924495584488,0,
60-69,,2021-04-10,0.6275643849680758,0,
60-69,,2021-04-17,0.5508382380888116,0,
60-69,,2021-04-24,1.255806141205982,0,
60-69,,2021-05-01,0.5449818975179708,0,
60-69,,2021-05-08,1.2713857681077119,0.5715984178155795,
60-69,,2021-05-15,0.9665010728161908,0,
60-69,,2021-05-22,0.2723281881460986,0,
60-69,,2021-05-29,0.5889160117429852,0,
60-69,,2021-06-05,1.2670858609056497,0,
60-69,,2021-06-12,0.34328517042392287,0.1822183996851266,
60-69,,2021-06-19,1.4746380685190579,0,
60-69,,2021-06-26,0.391763562854546,0,
60-69,,2021-07-03,0,0,
60-69,,2021-07-10,0,0,
60-69,,2021-07-17,0,0,
60-69,,2021-07-24,0.8868668325107644,0,
60-69,,2021-07-31,0.45550200876385866,0,
60-69,,2021-08-07,0.4648805954190666,0,
60-69,,2021-08-14,0,0,
60-69,,2021-08-21,0,0.1352032848990099,
60-69,,2021-08-28,2.526579617576909,0.1340261592257577,
60-69,,2021-09-04,2.629945612724729,0.13312140405807288,
60-69,,2021-09-11,5.537957158363423,0,
60-69,,2021-09-18,2.3434707974245255,0.26215515128318395,
60-69,,2021-09-25,3.058777467821661,0.2597645494124126,
60-69,,2021-10-02,5.0474141466399995,0,
60-69,,2021-10-09,0.6461325734814269,0,
60-69,,2021-10-16,1.9832612748403475,0,
60-69,,2021-10-23,4.035213967220612,0.12448556340921144,
60-69,,2021-10-30,2.727601279245,0,0
60-69,,2021-11-06,0,0,0
60-69,,2021-11-13,2.1104764048737934,0,0
60-69,,2021-11-20,0,0.1281277587508056,0
60-69,,2021-11-27,3.6077378761968673,0.27262516221197153,1.162912397809073
60-69,,2021-12-04,8.040876894174751,0.3011009757177118,0
60-69,,2021-12-11,2.9719448407037565,0.175310957811418,0
60-69,,2021-12-18,9.063512564294292,1.0622725408921814,0.5628713191733672
60-69,,2021-12-25,3.048710776430417,0.9717889663080765,0.48111271749301787
60-69,,2022-01-01,6.1296106164855875,1.0763104079216446,0.21894725779506974
60-69,,2022-01-08,7.72821416427092,0.3156316578552829,0
70-79,,2021-01-30,2.2812508554690707,0,
70-79,,2021-02-06,1.57155115241846,0,
70-79,,2021-02-13,1.9502206187074913,0,
70-79,,2021-02-20,1.5010507355148603,0,
70-79,,2021-02-27,1.1943843460575079,1.320829480914014,
70-79,,2021-03-06,0.5345964064429559,0,
70-79,,2021-03-13,2.067098001116233,0,
70-79,,2021-03-20,1.3816843917035775,0,
70-79,,2021-03-27,1.7132712129746028,0.6662136413905211,
70-79,,2021-04-03,1.4004621525103285,0,
70-79,,2021-04-10,3.4076640986859523,0,
70-79,,2021-04-17,1.298275565480151,0,
70-79,,2021-04-24,2.4740941722711773,0.3740303263788628,
70-79,,2021-05-01,5.09767138371192,0.32919101308534277,
70-79,,2021-05-08,1.7439325679407063,0,
70-79,,2021-05-15,2.5081043120583386,0,
70-79,,2021-05-22,4.067134839077031,0,
70-79,,2021-05-29,2.1365086599817684,0.1869494339171141,
70-79,,2021-06-05,2.982603962389364,0.17852711559095152,
70-79,,2021-06-12,2.3373041533894807,0,
70-79,,2021-06-19,1.624985781374413,0,
70-79,,2021-06-26,0.8447016091565654,0,
70-79,,2021-07-03,0,0,
70-79,,2021-07-10,0.8927296100557063,0,
70-79,,2021-07-17,0,0,
70-79,,2021-07-24,0.9375937593759376,0,
70-79,,2021-07-31,1.9178213549407872,0,
70-79,,2021-08-07,0,0,
70-79,,2021-08-14,0.9931670109645638,0,
70-79,,2021-08-21,5.080939364069629,0.6375650117072875,
70-79,,2021-08-28,3.139126067302863,0.3174860187094511,
70-79,,2021-09-04,10.843517203240044,0.6330105507033539,
