Município [-],Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018]
Orocó,2609808,orocoense,GEORGE GUEBER CAVALCANTE NERY,"554,76",15309,"23,76",98,"0,61","17,36","41517,08637","37866,03175",11719
Ouricuri,2609907,ouricuriense,FRANCISCO RICARDO SOARES RAMOS,"2381,57",70466,"26,56","92,4","0,572","21,66","121124,38129","135072,44205","9671,52"
Palmares,2610004,palmarense,JOSÉ BARTOLOMEU DE ALMEIDA MELO JUNIOR,"339,291",63745,"175,44","96,3","0,622","8,38","129657,239","135059,73673","12704,44"
Palmeirina,2610103,palmeirinense,MARCELO NEVES DE LIMA,"168,796",7509,"51,82",94,"0,549",-,"23736,61602","26810,3834","8822,41"
Panelas,2610202,panelense,RUBEN DE LIMA BARBOSA,"380,428",26438,"69,14","98,6","0,569","18,52","82808,45869","71270,31865","7178,15"
Paranatama,2610301,paranatamense,JOSE VALMIR PIMENTEL DE GOIS,"185,371",11608,"47,65","97,9","0,537","9,95","38048,98726","36511,75982","24880,06"
Parnamirim,2610400,parnamirinense,FERDINANDO LIMA DE CARVALHO,"2609,548",22198,"7,79",97,"0,599","6,58","49859,83068","46505,80731","7616,25"
Passira,2610509,passirense,SEVERINO SILVESTRE DE ALBUQUERQUE,"326,758",28856,"87,61","95,9","0,592","10,64","60396,72672","63869,93836","7751,02"
Paudalho,2610608,paudalhense,MARCELLO FUCHS CAMPOS GOUVEIA,"269,651",57346,"185,06","96,7","0,639","8,48","99429,96497","90579,71753","14223,39"
Paulista,2610707,paulistano,YVES RIBEIRO DE ALBUQUERQUE,"96,932",336919,"3087,66","97,9","0,732","10,43","501021,00628","457524,10481","12731,32"
Pedra,2610806,pedrense,GILBERTO JÚNIOR WANDERLEY VAZ,"921,477",22716,"26,08",92,"0,567","9,12","48119,19458","48181,38936","11037,24"
Pesqueira,2610905,pesqueirense,MARIA JOSE CASTRO TENORIO,"980,876",68067,"63,21","97,4","0,61","13,96","117501,81215","107174,11434","10269,85"
Petrolândia,2611002,petrolandense,FABIANO JAQUES MARQUES,"1056,592",37246,"30,75",96,"0,623","7,12","80548,29077","77134,21193","36751,1"
Petrolina,2611101,petrolinense,MIGUEL DE SOUZA LEÃO COELHO,"4561,87",359372,"64,44",97,"0,697","18,07","669779,17576","604499,95462","19445,59"
Poção,2611200,poçãoense,EMERSON CORDEIRO VASCONCELOS,"204,329",11308,"45,56",97,"0,528","43,17","29218,3409","26962,35066","7433,25"
Pombos,2611309,pomboense,MANOEL MARCOS ALVES FERREIRA,"239,876",27204,"118,35",95,"0,598","4,87","57179,34587","57045,16544","13530,65"
Primavera,2611408,primaverense,DAYSE JULIANA DOS SANTOS,"113,112",15231,"121,97","96,7","0,58",-,"32800,34927","31447,23829","10731,75"
Quipapá,2611507,quipapaense,ALVARO PORTO DE BARROS FILHO,"230,617",26309,"104,88","97,2","0,552","17,86","58125,87157","58430,73616","6944,35"
Quixaba,2611533,quixabense,JOSÉ PEREIRA NUNES,"210,705",6796,"31,98","99,2","0,577","19,05","26460,00167","23119,64656","7773,86"
Recife,2611606,recifense,JOAO HENRIQUE DE ANDRADE LIMA CAMPOS,"218,843",1661017,"7039,64","97,1","0,772","11,5","4863813,57332","4359406,34804","31994,38"
Riacho das Almas,2611705,riachense,DIOCLÉCIO ROSENDO DE LIMA FILHO,"314,003",20744,"61,02","93,4","0,57","3,23","52372,07858","49074,57391","8886,07"
Ribeirão,2611804,ribeirãoense,MARCELLO CAVALCANTI DE PETRIBU DE ALBUQUERQUE MARANHAO,"289,733",47813,"154,35","92,9","0,602","16,88","82797,04627","78496,23751","9503,44"
