,Municipio,Codigo_IBGE,Populacao,Populacao_60+
493,Rio das Pedras,3544004,34416,4227
494,Rio Grande da Serra,3544103,49816,5829
495,Riolândia,3544202,11431,1461
496,Rosana,3544251,18387,3132
497,Roseira,3544301,10642,1468
498,Rubiácea,3544400,3106,429
499,Rubinéia,3544509,2989,720
500,Sabino,3544608,5468,1103
501,Sagres,3544707,2362,507
502,Sales,3544806,6050,1165
503,Sales Oliveira,3544905,11518,2044
504,Salesópolis,3545001,16838,2512
505,Salmourão,3545100,5117,923
506,Saltinho,3545159,7860,1479
507,Salto,3545209,115372,16885
508,Salto de Pirapora,3545308,44223,6579
509,Salto Grande,3545407,9095,1625
510,Sandovalina,3545506,4211,550
511,Santa Adélia,3545605,14892,2584
512,Santa Albertina,3545704,5672,1304
513,Santa Bárbara d'Oeste,3545803,188745,31384
514,Santa Branca,3546009,14179,2465
515,Santa Clara d'Oeste,3546108,2006,448
516,Santa Cruz da Conceição,3546207,4349,860
517,Santa Cruz da Esperança,3546256,2077,377
518,Santa Cruz das Palmeiras,3546306,33729,4721
519,Santa Cruz do Rio Pardo,3546405,46110,8329
520,Santa Ernestina,3546504,5525,728
521,Santa Fé do Sul,3546603,30804,6215
522,Santa Gertrudes,3546702,26189,2736
523,Santa Isabel,3546801,55086,8115
524,Santa Lúcia,3546900,8562,1150
525,Santa Maria da Serra,3547007,6141,793
526,Santa Mercedes,3547106,2813,503
527,Santana da Ponte Pensa,3547205,1509,444
528,Santana de Parnaíba,3547304,138132,16604
529,Santa Rita d'Oeste,3547403,2404,667
530,Santa Rita do Passa Quatro,3547502,26385,5912
531,Santa Rosa de Viterbo,3547601,25604,4413
532,Santa Salete,3547650,1440,359
533,Santo Anastácio,3547700,20127,3961
534,Santo André,3547809,693867,123293
535,Santo Antônio da Alegria,3547908,6637,1255
536,Santo Antônio de Posse,3548005,22849,3160
537,Santo Antônio do Aracanguá,3548054,8252,1293
538,Santo Antônio do Jardim,3548104,5826,1169
539,Santo Antônio do Pinhal,3548203,6628,1061
540,Santo Expedito,3548302,2972,585
541,Santópolis do Aguapeí,3548401,4668,700
542,Santos,3548500,428703,95433
543,São Bento do Sapucaí,3548609,10530,2027
544,São Bernardo do Campo,3548708,812086,122274
545,São Caetano do Sul,3548807,151244,34932
546,São Carlos,3548906,242632,40879
547,São Francisco,3549003,2677,612
548,São João da Boa Vista,3549102,87340,16640
549,São João das Duas Pontes,3549201,2476,489
550,São João de Iracema,3549250,1850,357
551,São João do Pau d'Alho,3549300,1985,529
552,São Joaquim da Barra,3549409,50274,8130
553,São José da Bela Vista,3549508,8727,1206
554,São José do Barreiro,3549607,4070,703
555,São José do Rio Pardo,3549706,53206,10348
556,São José do Rio Preto,3549805,447924,79391
557,São José dos Campos,3549904,710654,103840
558,São Lourenço da Serra,3549953,15579,2134
559,São Luiz do Paraitinga,3550001,10569,1985
560,São Manuel,3550100,39574,6377
561,São Miguel Arcanjo,3550209,32000,4774
562,São Paulo,3550308,11869660,1853286
563,São Pedro,3550407,34208,6296
564,São Pedro do Turvo,3550506,7369,1272
565,São Roque,3550605,87435,14389
566,São Sebastião,3550704,87135,10052
567,São Sebastião da Grama,3550803,11936,2138
568,São Simão,3550902,14847,2659
569,São Vicente,3551009,357929,53994
570,Sarapuí,3551108,10110,1478
571,Sarutaiá,3551207,3646,643
572,Sebastianópolis do Sul,3551306,3293,673
573,Serra Azul,3551405,12282,1425
574,Serrana,3551504,44434,4998
575,Serra Negra,3551603,27440,5669
576,Sertãozinho,3551702,122355,17281
577,Sete Barras,3551801,12628,2076
578,Severínia,3551900,17126,2206
579,Silveiras,3552007,6204,1026
580,Socorro,3552106,38783,7970
581,Sorocaba,3552205,658547,96498
582,Sud Mennucci,3552304,7713,1262
583,Sumaré,3552403,283212,34837
584,Suzano,3552502,291002,37156
585,Suzanápolis,3552551,3947,642
586,Tabapuã,3552601,11892,2236
587,Tabatinga,3552700,15897,2365
588,Taboão da Serra,3552809,283871,32713
589,Taciba,3552908,6054,966
590,Taguaí,3553005,13319,1702
591,Taiaçu,3553104,6037,1034
592,Taiúva,3553203,6278,1147
593,Tambaú,3553302,22803,4056
594,Tanabi,3553401,25105,5024
595,Tapiraí,3553500,7699,1170
596,Tapiratiba,3553609,12610,2257
597,Taquaral,3553658,2751,505
598,Taquaritinga,3553708,54499,9495
599,Taquarituba,3553807,23193,3791
600,Taquarivaí,3553856,5746,646
601,Tarabai,3553906,7269,986
602,Tarumã,3553955,14806,1865
603,Tatuí,3554003,120123,17470
604,Taubaté,3554102,307361,47104
605,Tejupá,3554201,4697,751
606,Teodoro Sampaio,3554300,22414,3160
607,Terra Roxa,3554409,9121,1488
608,Tietê,3554508,41073,6467
609,Timburi,3554607,2557,551
610,Torre de Pedra,3554656,2320,457
611,Torrinha,3554706,9713,1904
612,Trabiju,3554755,1703,281
613,Tremembé,3554805,45978,6344
614,Três Fronteiras,3554904,5547,1221
615,Tuiuti,3554953,6557,1333
616,Tupã,3555000,62843,13256
617,Tupi Paulista,3555109,14878,3292
618,Turiúba,3555208,1912,477
619,Turmalina,3555307,1805,491
620,Ubarana,3555356,6066,775
621,Ubatuba,3555406,88916,11869
622,Ubirajara,3555505,4663,848
623,Uchoa,3555604,9683,1966
624,União Paulista,3555703,1739,280
625,Urânia,3555802,8611,1966
626,Uru,3555901,1207,258
627,Urupês,3556008,13164,2726
628,Valentim Gentil,3556107,12770,2027
629,Valinhos,3556206,124742,20141
630,Valparaíso,3556305,23988,3207
631,Vargem,3556354,10000,1730
632,Vargem Grande do Sul,3556404,41501,6921
633,Vargem Grande Paulista,3556453,52762,6337
634,Várzea Paulista,3556503,120535,15274
635,Vera Cruz,3556602,10524,2066
636,Vinhedo,3556701,77521,11665
637,Viradouro,3556800,18347,2985
638,Vista Alegre do Alto,3556909,8014,1107
639,Vitória Brasil,3556958,1760,353
640,Votorantim,3557006,119824,16378
641,Votuporanga,3557105,91760,17203
642,Zacarias,3557154,2560,481
643,Chavantes,3557204,12223,2098
644,Estiva Gerbi,3557303,11079,1606
