Município,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Joaquim Távora,411280,PR,Sul,PFIZER/BIONTECH,4985,3431,1554
Joaquim Távora,411280,PR,Sul,BUTANTAN/SINOVAC,4524,2359,2165
Joaquim Távora,411280,PR,Sul,JANSSEN,368,0,0
Joca Claudino,251365,PB,Nordeste,FIOCRUZ/ASTRAZENECA,1412,714,698
Joca Claudino,251365,PB,Nordeste,BUTANTAN/SINOVAC,1196,611,585
Joca Claudino,251365,PB,Nordeste,PFIZER/BIONTECH,919,674,245
Joca Claudino,251365,PB,Nordeste,JANSSEN,41,0,0
Joca Marques,220545,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2843,1709,1134
Joca Marques,220545,PI,Nordeste,PFIZER/BIONTECH,1447,1168,279
Joca Marques,220545,PI,Nordeste,BUTANTAN/SINOVAC,1440,793,647
Joca Marques,220545,PI,Nordeste,JANSSEN,70,0,0
Jóia,431115,RS,Sul,FIOCRUZ/ASTRAZENECA,5487,2879,2608
Jóia,431115,RS,Sul,BUTANTAN/SINOVAC,3304,1723,1581
Jóia,431115,RS,Sul,PFIZER/BIONTECH,1981,1243,738
Jóia,431115,RS,Sul,JANSSEN,199,0,0
Joinville,420910,SC,Sul,FIOCRUZ/ASTRAZENECA,312237,164467,147770
Joinville,420910,SC,Sul,PFIZER/BIONTECH,273601,176036,97565
Joinville,420910,SC,Sul,BUTANTAN/SINOVAC,193197,101159,92038
Joinville,420910,SC,Sul,JANSSEN,19661,0,0
Jordânia,313650,MG,Sudeste,FIOCRUZ/ASTRAZENECA,4539,2454,2085
Jordânia,313650,MG,Sudeste,PFIZER/BIONTECH,3006,2290,716
Jordânia,313650,MG,Sudeste,BUTANTAN/SINOVAC,2882,1447,1435
Jordânia,313650,MG,Sudeste,JANSSEN,116,0,0
Jordão,120032,AC,Norte,BUTANTAN/SINOVAC,4564,2436,2128
Jordão,120032,AC,Norte,PFIZER/BIONTECH,2289,1484,805
Jordão,120032,AC,Norte,FIOCRUZ/ASTRAZENECA,1703,936,767
Jordão,120032,AC,Norte,JANSSEN,23,0,0
José Boiteux,420915,SC,Sul,BUTANTAN/SINOVAC,2994,1559,1435
José Boiteux,420915,SC,Sul,FIOCRUZ/ASTRAZENECA,2003,1381,622
José Boiteux,420915,SC,Sul,PFIZER/BIONTECH,815,796,19
José Boiteux,420915,SC,Sul,JANSSEN,137,0,0
José Bonifácio,352570,SP,Sudeste,FIOCRUZ/ASTRAZENECA,22500,11244,11256
José Bonifácio,352570,SP,Sudeste,BUTANTAN/SINOVAC,22208,11196,11012
José Bonifácio,352570,SP,Sudeste,PFIZER/BIONTECH,13811,7405,6406
José Bonifácio,352570,SP,Sudeste,JANSSEN,1027,0,0
José Da Penha,240600,RN,Nordeste,FIOCRUZ/ASTRAZENECA,4060,2090,1970
José Da Penha,240600,RN,Nordeste,PFIZER/BIONTECH,3034,2084,950
José Da Penha,240600,RN,Nordeste,BUTANTAN/SINOVAC,2611,1321,1290
José Da Penha,240600,RN,Nordeste,JANSSEN,90,0,0
José De Freitas,220550,PI,Nordeste,FIOCRUZ/ASTRAZENECA,17159,9430,7729
José De Freitas,220550,PI,Nordeste,BUTANTAN/SINOVAC,15045,8615,6430
José De Freitas,220550,PI,Nordeste,PFIZER/BIONTECH,13454,10690,2764
José De Freitas,220550,PI,Nordeste,JANSSEN,483,0,0
José Gonçalves De Minas,313652,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2489,1344,1145
José Gonçalves De Minas,313652,MG,Sudeste,PFIZER/BIONTECH,1166,862,304
José Gonçalves De Minas,313652,MG,Sudeste,BUTANTAN/SINOVAC,867,464,403
José Gonçalves De Minas,313652,MG,Sudeste,JANSSEN,56,0,0
José Raydan,313655,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2549,1338,1211
José Raydan,313655,MG,Sudeste,PFIZER/BIONTECH,1831,1166,665
José Raydan,313655,MG,Sudeste,BUTANTAN/SINOVAC,1644,840,804
José Raydan,313655,MG,Sudeste,JANSSEN,72,0,0
Joselândia,210560,MA,Nordeste,FIOCRUZ/ASTRAZENECA,6904,4054,2850
Joselândia,210560,MA,Nordeste,BUTANTAN/SINOVAC,4103,2264,1839
Joselândia,210560,MA,Nordeste,PFIZER/BIONTECH,1916,1628,288
Joselândia,210560,MA,Nordeste,JANSSEN,690,0,0
Josenópolis,313657,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1660,1061,599
Josenópolis,313657,MG,Sudeste,BUTANTAN/SINOVAC,788,440,348
Josenópolis,313657,MG,Sudeste,PFIZER/BIONTECH,581,469,112
Josenópolis,313657,MG,Sudeste,JANSSEN,29,0,0
Joviânia,521210,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4192,2168,2024
Joviânia,521210,GO,Centro-Oeste,BUTANTAN/SINOVAC,3113,1681,1432
Joviânia,521210,GO,Centro-Oeste,PFIZER/BIONTECH,2247,1819,428
Joviânia,521210,GO,Centro-Oeste,JANSSEN,125,0,0
Juara,510510,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,16539,8909,7630
Juara,510510,MT,Centro-Oeste,PFIZER/BIONTECH,13392,9378,4014
Juara,510510,MT,Centro-Oeste,BUTANTAN/SINOVAC,9140,5016,4124
Juara,510510,MT,Centro-Oeste,JANSSEN,1153,0,0
Juarez Távora,250760,PB,Nordeste,FIOCRUZ/ASTRAZENECA,4231,2212,2019
Juarez Távora,250760,PB,Nordeste,BUTANTAN/SINOVAC,3286,1732,1554
Juarez Távora,250760,PB,Nordeste,PFIZER/BIONTECH,2674,2020,654
Juarez Távora,250760,PB,Nordeste,JANSSEN,127,0,0
Juarina,171180,TO,Norte,FIOCRUZ/ASTRAZENECA,966,526,440
Juarina,171180,TO,Norte,BUTANTAN/SINOVAC,907,500,407
Juarina,171180,TO,Norte,PFIZER/BIONTECH,591,477,114
Juarina,171180,TO,Norte,JANSSEN,30,0,0
Juatuba,313665,MG,Sudeste,FIOCRUZ/ASTRAZENECA,16247,9778,6469
Juatuba,313665,MG,Sudeste,BUTANTAN/SINOVAC,9835,5517,4318
Juatuba,313665,MG,Sudeste,PFIZER/BIONTECH,7727,6090,1637
Juatuba,313665,MG,Sudeste,JANSSEN,796,0,0
Juazeirinho,250770,PB,Nordeste,FIOCRUZ/ASTRAZENECA,7133,4263,2870
Juazeirinho,250770,PB,Nordeste,BUTANTAN/SINOVAC,6050,3276,2774
Juazeirinho,250770,PB,Nordeste,PFIZER/BIONTECH,4525,3385,1140
Juazeirinho,250770,PB,Nordeste,JANSSEN,294,0,0
Juazeiro,291840,BA,Nordeste,FIOCRUZ/ASTRAZENECA,76288,49280,27008
Juazeiro,291840,BA,Nordeste,BUTANTAN/SINOVAC,62643,41292,21351
Juazeiro,291840,BA,Nordeste,PFIZER/BIONTECH,46009,36712,9297
Juazeiro,291840,BA,Nordeste,JANSSEN,2351,0,0
Juazeiro Do Norte,230730,CE,Nordeste,BUTANTAN/SINOVAC,52013,26441,25572
Juazeiro Do Norte,230730,CE,Nordeste,FIOCRUZ/ASTRAZENECA,21877,12484,9393
Juazeiro Do Norte,230730,CE,Nordeste,PFIZER/BIONTECH,458,211,247
Juazeiro Do Norte,230730,CE,Nordeste,JANSSEN,33,0,0
Juazeiro Do Piauí,220551,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2245,1376,869
Juazeiro Do Piauí,220551,PI,Nordeste,PFIZER/BIONTECH,1776,1073,703
Juazeiro Do Piauí,220551,PI,Nordeste,BUTANTAN/SINOVAC,1735,1035,700
Juazeiro Do Piauí,220551,PI,Nordeste,JANSSEN,79,0,0
Jucás,230740,CE,Nordeste,BUTANTAN/SINOVAC,4624,2302,2322
Jucás,230740,CE,Nordeste,FIOCRUZ/ASTRAZENECA,2837,2004,833
Jucati,260825,PE,Nordeste,FIOCRUZ/ASTRAZENECA,5563,3087,2476
Jucati,260825,PE,Nordeste,PFIZER/BIONTECH,4796,3097,1699
Jucati,260825,PE,Nordeste,BUTANTAN/SINOVAC,3769,2025,1744
Jucati,260825,PE,Nordeste,JANSSEN,102,0,0
Jucuruçu,291845,BA,Nordeste,BUTANTAN/SINOVAC,720,460,260
Jucuruçu,291845,BA,Nordeste,FIOCRUZ/ASTRAZENECA,458,440,18
Jucuruçu,291845,BA,Nordeste,PFIZER/BIONTECH,153,149,4
Jucuruçu,291845,BA,Nordeste,JANSSEN,26,0,0
Jucurutu,240610,RN,Nordeste,FIOCRUZ/ASTRAZENECA,9605,5406,4199
Jucurutu,240610,RN,Nordeste,BUTANTAN/SINOVAC,7249,3836,3413
Jucurutu,240610,RN,Nordeste,PFIZER/BIONTECH,5589,4379,1210
Jucurutu,240610,RN,Nordeste,JANSSEN,318,0,0
Juína,510515,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,20953,11022,9931
Juína,510515,MT,Centro-Oeste,PFIZER/BIONTECH,17484,12526,4958
Juína,510515,MT,Centro-Oeste,BUTANTAN/SINOVAC,15965,8323,7642
Juína,510515,MT,Centro-Oeste,JANSSEN,1050,0,0
Juiz De Fora,313670,MG,Sudeste,FIOCRUZ/ASTRAZENECA,305947,178253,127694
Juiz De Fora,313670,MG,Sudeste,BUTANTAN/SINOVAC,208569,109882,98687
Juiz De Fora,313670,MG,Sudeste,PFIZER/BIONTECH,153914,109596,44318
Juiz De Fora,313670,MG,Sudeste,JANSSEN,13796,0,0
Júlio Borges,220552,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2852,1612,1240
Júlio Borges,220552,PI,Nordeste,BUTANTAN/SINOVAC,2005,1070,935
Júlio Borges,220552,PI,Nordeste,PFIZER/BIONTECH,1704,1346,358
Júlio Borges,220552,PI,Nordeste,JANSSEN,108,0,0
Júlio De Castilhos,431120,RS,Sul,FIOCRUZ/ASTRAZENECA,12498,6374,6124
Júlio De Castilhos,431120,RS,Sul,BUTANTAN/SINOVAC,7552,3979,3573
Júlio De Castilhos,431120,RS,Sul,PFIZER/BIONTECH,7414,4467,2947
Júlio De Castilhos,431120,RS,Sul,JANSSEN,527,527,0
Júlio Mesquita,352580,SP,Sudeste,FIOCRUZ/ASTRAZENECA,3061,1644,1417
Júlio Mesquita,352580,SP,Sudeste,BUTANTAN/SINOVAC,2219,1122,1097
Júlio Mesquita,352580,SP,Sudeste,PFIZER/BIONTECH,1925,908,1017
Júlio Mesquita,352580,SP,Sudeste,JANSSEN,118,0,0
Jumirim,352585,SP,Sudeste,BUTANTAN/SINOVAC,2099,1086,1013
Jumirim,352585,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2072,1060,1012
Jumirim,352585,SP,Sudeste,PFIZER/BIONTECH,1372,761,611
Jumirim,352585,SP,Sudeste,JANSSEN,97,0,0
Junco Do Maranhão,210565,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2219,1409,810
Junco Do Maranhão,210565,MA,Nordeste,BUTANTAN/SINOVAC,1454,818,636
Junco Do Maranhão,210565,MA,Nordeste,PFIZER/BIONTECH,995,667,328
Junco Do Maranhão,210565,MA,Nordeste,JANSSEN,554,0,0
Junco Do Seridó,250780,PB,Nordeste,FIOCRUZ/ASTRAZENECA,2975,1581,1394
Junco Do Seridó,250780,PB,Nordeste,BUTANTAN/SINOVAC,2920,1502,1418
Junco Do Seridó,250780,PB,Nordeste,PFIZER/BIONTECH,2583,1949,634
Junco Do Seridó,250780,PB,Nordeste,JANSSEN,130,0,0
Jundiá,240615,RN,Nordeste,FIOCRUZ/ASTRAZENECA,2239,1187,1052
Jundiá,240615,RN,Nordeste,BUTANTAN/SINOVAC,1152,582,570
Jundiá,240615,RN,Nordeste,PFIZER/BIONTECH,979,753,226
Jundiá,240615,RN,Nordeste,JANSSEN,51,0,0
Jundiá,270390,AL,Nordeste,BUTANTAN/SINOVAC,2315,1208,1107
Jundiá,270390,AL,Nordeste,FIOCRUZ/ASTRAZENECA,2008,1143,865
Jundiá,270390,AL,Nordeste,JANSSEN,30,0,0
Jundiaí,352590,SP,Sudeste,FIOCRUZ/ASTRAZENECA,267190,134556,132634
Jundiaí,352590,SP,Sudeste,BUTANTAN/SINOVAC,253269,130250,123019
Jundiaí,352590,SP,Sudeste,PFIZER/BIONTECH,166223,88693,77530
Jundiaí,352590,SP,Sudeste,JANSSEN,11221,0,0
Jundiaí Do Sul,411290,PR,Sul,FIOCRUZ/ASTRAZENECA,2230,1180,1050
Jundiaí Do Sul,411290,PR,Sul,BUTANTAN/SINOVAC,1228,630,598
Jundiaí Do Sul,411290,PR,Sul,PFIZER/BIONTECH,761,653,108
Jundiaí Do Sul,411290,PR,Sul,JANSSEN,50,0,0
Junqueiro,270400,AL,Nordeste,FIOCRUZ/ASTRAZENECA,10621,6633,3988
Junqueiro,270400,AL,Nordeste,BUTANTAN/SINOVAC,8488,5121,3367
Junqueiro,270400,AL,Nordeste,PFIZER/BIONTECH,3520,3512,8
Junqueiro,270400,AL,Nordeste,JANSSEN,215,0,0
Junqueirópolis,352600,SP,Sudeste,FIOCRUZ/ASTRAZENECA,13741,6827,6914
Junqueirópolis,352600,SP,Sudeste,BUTANTAN/SINOVAC,12643,6335,6308
Junqueirópolis,352600,SP,Sudeste,PFIZER/BIONTECH,8099,4062,4037
Junqueirópolis,352600,SP,Sudeste,JANSSEN,407,0,0
Jupi,260830,PE,Nordeste,FIOCRUZ/ASTRAZENECA,8194,4296,3898
Jupi,260830,PE,Nordeste,PFIZER/BIONTECH,6394,4138,2256
Jupi,260830,PE,Nordeste,BUTANTAN/SINOVAC,5071,2680,2391
Jupi,260830,PE,Nordeste,JANSSEN,138,0,0
Jupiá,420917,SC,Sul,FIOCRUZ/ASTRAZENECA,1360,698,662
Jupiá,420917,SC,Sul,PFIZER/BIONTECH,1160,763,397
Jupiá,420917,SC,Sul,BUTANTAN/SINOVAC,932,479,453
Jupiá,420917,SC,Sul,JANSSEN,63,0,0
Juquiá,352610,SP,Sudeste,FIOCRUZ/ASTRAZENECA,11260,6207,5053
Juquiá,352610,SP,Sudeste,BUTANTAN/SINOVAC,8809,4431,4378
Juquiá,352610,SP,Sudeste,PFIZER/BIONTECH,6917,3940,2977
Juquiá,352610,SP,Sudeste,JANSSEN,418,0,0
Juquitiba,352620,SP,Sudeste,FIOCRUZ/ASTRAZENECA,19334,10229,9105
Juquitiba,352620,SP,Sudeste,BUTANTAN/SINOVAC,16256,8291,7965
Juquitiba,352620,SP,Sudeste,PFIZER/BIONTECH,13223,7635,5588
Juquitiba,352620,SP,Sudeste,JANSSEN,721,0,0
Juramento,313680,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1221,807,414
Juramento,313680,MG,Sudeste,PFIZER/BIONTECH,963,798,165
Juramento,313680,MG,Sudeste,BUTANTAN/SINOVAC,887,479,408
Juramento,313680,MG,Sudeste,JANSSEN,24,0,0
Juranda,411295,PR,Sul,FIOCRUZ/ASTRAZENECA,5297,2676,2621
Juranda,411295,PR,Sul,PFIZER/BIONTECH,3069,1905,1164
Juranda,411295,PR,Sul,BUTANTAN/SINOVAC,2963,1509,1454
Juranda,411295,PR,Sul,JANSSEN,181,0,0
Jurema,220553,PI,Nordeste,PFIZER/BIONTECH,2539,1646,893
Jurema,220553,PI,Nordeste,BUTANTAN/SINOVAC,2126,1185,941
Jurema,220553,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1984,1007,977
Jurema,220553,PI,Nordeste,JANSSEN,72,0,0
Jurema,260840,PE,Nordeste,FIOCRUZ/ASTRAZENECA,6679,4629,2050
Jurema,260840,PE,Nordeste,BUTANTAN/SINOVAC,4389,2385,2004
Jurema,260840,PE,Nordeste,PFIZER/BIONTECH,3729,3173,556
Jurema,260840,PE,Nordeste,JANSSEN,74,0,0
Juripiranga,250790,PB,Nordeste,BUTANTAN/SINOVAC,4772,2492,2280
Juripiranga,250790,PB,Nordeste,FIOCRUZ/ASTRAZENECA,4706,2415,2291
Juripiranga,250790,PB,Nordeste,PFIZER/BIONTECH,3990,2805,1185
Juripiranga,250790,PB,Nordeste,JANSSEN,181,0,0
Juru,250800,PB,Nordeste,FIOCRUZ/ASTRAZENECA,4759,2439,2320
Juru,250800,PB,Nordeste,BUTANTAN/SINOVAC,3416,1810,1606
Juru,250800,PB,Nordeste,PFIZER/BIONTECH,3231,2485,746
Juru,250800,PB,Nordeste,JANSSEN,167,0,0
Juruá,130220,AM,Norte,FIOCRUZ/ASTRAZENECA,4665,2964,1701
Juruá,130220,AM,Norte,BUTANTAN/SINOVAC,2194,1302,892
Juruá,130220,AM,Norte,PFIZER/BIONTECH,605,585,20
Juruá,130220,AM,Norte,JANSSEN,100,0,0
Juruaia,313690,MG,Sudeste,FIOCRUZ/ASTRAZENECA,6088,3183,2905
Juruaia,313690,MG,Sudeste,BUTANTAN/SINOVAC,4800,2461,2339
Juruaia,313690,MG,Sudeste,PFIZER/BIONTECH,3286,2370,916
Juruaia,313690,MG,Sudeste,JANSSEN,113,0,0
Juruena,510517,MT,Centro-Oeste,PFIZER/BIONTECH,4996,3183,1813
Juruena,510517,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4556,2466,2090
Juruena,510517,MT,Centro-Oeste,BUTANTAN/SINOVAC,1724,874,850
Juruena,510517,MT,Centro-Oeste,JANSSEN,422,0,0
Juruti,150390,PA,Norte,FIOCRUZ/ASTRAZENECA,26170,16056,10114
Juruti,150390,PA,Norte,PFIZER/BIONTECH,14193,12171,2022
Juruti,150390,PA,Norte,BUTANTAN/SINOVAC,6679,3803,2876
Juruti,150390,PA,Norte,JANSSEN,80,0,0
Juscimeira,510520,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,6953,3821,3132
Juscimeira,510520,MT,Centro-Oeste,BUTANTAN/SINOVAC,4204,2176,2028
Juscimeira,510520,MT,Centro-Oeste,PFIZER/BIONTECH,3266,2241,1025
Juscimeira,510520,MT,Centro-Oeste,JANSSEN,371,0,0
Jussara,291850,BA,Nordeste,FIOCRUZ/ASTRAZENECA,8936,4887,4049
Jussara,291850,BA,Nordeste,BUTANTAN/SINOVAC,5683,3077,2606
Jussara,291850,BA,Nordeste,PFIZER/BIONTECH,4724,3794,930
Jussara,291850,BA,Nordeste,JANSSEN,172,0,0
Jussara,411300,PR,Sul,FIOCRUZ/ASTRAZENECA,4537,2429,2108
Jussara,411300,PR,Sul,BUTANTAN/SINOVAC,2175,1201,974
Jussara,411300,PR,Sul,PFIZER/BIONTECH,1927,1512,415
Jussara,411300,PR,Sul,JANSSEN,173,0,0
Jussara,521220,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,13449,7465,5984
Jussara,521220,GO,Centro-Oeste,BUTANTAN/SINOVAC,8333,4643,3690
Jussara,521220,GO,Centro-Oeste,PFIZER/BIONTECH,3582,3333,249
Jussara,521220,GO,Centro-Oeste,JANSSEN,125,0,0
Jussari,291855,BA,Nordeste,FIOCRUZ/ASTRAZENECA,2856,1686,1170
Jussari,291855,BA,Nordeste,PFIZER/BIONTECH,1739,1208,531
Jussari,291855,BA,Nordeste,BUTANTAN/SINOVAC,1703,934,769
Jussari,291855,BA,Nordeste,JANSSEN,89,0,0
Jussiape,291860,BA,Nordeste,FIOCRUZ/ASTRAZENECA,5517,2916,2601
Jussiape,291860,BA,Nordeste,BUTANTAN/SINOVAC,3406,1728,1678
Jussiape,291860,BA,Nordeste,PFIZER/BIONTECH,2375,1593,782
Jussiape,291860,BA,Nordeste,JANSSEN,38,0,0
Jutaí,130230,AM,Norte,FIOCRUZ/ASTRAZENECA,2310,1738,572
Jutaí,130230,AM,Norte,BUTANTAN/SINOVAC,1684,918,766
Jutaí,130230,AM,Norte,PFIZER/BIONTECH,386,380,6
Jutaí,130230,AM,Norte,JANSSEN,8,0,0
Juti,500515,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4139,2284,1855
Juti,500515,MS,Centro-Oeste,BUTANTAN/SINOVAC,2649,1369,1280
Juti,500515,MS,Centro-Oeste,PFIZER/BIONTECH,2615,1557,1058
Juti,500515,MS,Centro-Oeste,JANSSEN,344,0,0
Juvenília,313695,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3865,2224,1641
Juvenília,313695,MG,Sudeste,PFIZER/BIONTECH,1955,1496,459
Juvenília,313695,MG,Sudeste,BUTANTAN/SINOVAC,1428,728,700
Juvenília,313695,MG,Sudeste,JANSSEN,64,0,0
Kaloré,411310,PR,Sul,FIOCRUZ/ASTRAZENECA,3651,1879,1772
Kaloré,411310,PR,Sul,BUTANTAN/SINOVAC,2378,1215,1163
Kaloré,411310,PR,Sul,PFIZER/BIONTECH,1155,848,307
Kaloré,411310,PR,Sul,JANSSEN,123,0,0
Lábrea,130240,AM,Norte,FIOCRUZ/ASTRAZENECA,24378,13012,11366
Lábrea,130240,AM,Norte,BUTANTAN/SINOVAC,12969,6805,6164
Lábrea,130240,AM,Norte,PFIZER/BIONTECH,5137,4868,269
Lábrea,130240,AM,Norte,JANSSEN,885,0,0
Lacerdópolis,420920,SC,Sul,FIOCRUZ/ASTRAZENECA,1534,785,749
Lacerdópolis,420920,SC,Sul,BUTANTAN/SINOVAC,1167,585,582
Lacerdópolis,420920,SC,Sul,PFIZER/BIONTECH,1145,727,418
Lacerdópolis,420920,SC,Sul,JANSSEN,79,0,0
Ladainha,313700,MG,Sudeste,FIOCRUZ/ASTRAZENECA,7223,4176,3047
Ladainha,313700,MG,Sudeste,PFIZER/BIONTECH,5527,4288,1239
Ladainha,313700,MG,Sudeste,BUTANTAN/SINOVAC,4837,2425,2412
Ladainha,313700,MG,Sudeste,JANSSEN,153,0,0
Ladário,500520,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,10576,6052,4524
Ladário,500520,MS,Centro-Oeste,PFIZER/BIONTECH,4891,2732,2159
Ladário,500520,MS,Centro-Oeste,JANSSEN,4175,0,0
Ladário,500520,MS,Centro-Oeste,BUTANTAN/SINOVAC,3945,2165,1780
Lafaiete Coutinho,291870,BA,Nordeste,FIOCRUZ/ASTRAZENECA,2377,1239,1138
Lafaiete Coutinho,291870,BA,Nordeste,BUTANTAN/SINOVAC,1784,909,875
Lafaiete Coutinho,291870,BA,Nordeste,PFIZER/BIONTECH,1195,888,307
Lafaiete Coutinho,291870,BA,Nordeste,JANSSEN,53,0,0
Lagamar,313710,MG,Sudeste,FIOCRUZ/ASTRAZENECA,4488,2306,2182
Lagamar,313710,MG,Sudeste,PFIZER/BIONTECH,2982,1982,1000
Lagamar,313710,MG,Sudeste,BUTANTAN/SINOVAC,2708,1379,1329
Lagamar,313710,MG,Sudeste,JANSSEN,118,0,0
Lagarto,280350,SE,Nordeste,FIOCRUZ/ASTRAZENECA,52014,31889,20125
Lagarto,280350,SE,Nordeste,PFIZER/BIONTECH,28433,23117,5316
Lagarto,280350,SE,Nordeste,BUTANTAN/SINOVAC,24641,14476,10165
Lagarto,280350,SE,Nordeste,JANSSEN,2496,0,0
Lages,420930,SC,Sul,FIOCRUZ/ASTRAZENECA,102615,55841,46774
Lages,420930,SC,Sul,BUTANTAN/SINOVAC,57609,31971,25638
Lages,420930,SC,Sul,PFIZER/BIONTECH,48623,37220,11403
Lages,420930,SC,Sul,JANSSEN,4949,0,0
Lago Da Pedra,210570,MA,Nordeste,FIOCRUZ/ASTRAZENECA,16955,9828,7127
Lago Da Pedra,210570,MA,Nordeste,BUTANTAN/SINOVAC,10899,5802,5097
Lago Da Pedra,210570,MA,Nordeste,PFIZER/BIONTECH,9694,7417,2277
Lago Da Pedra,210570,MA,Nordeste,JANSSEN,393,0,0
Lago Do Junco,210580,MA,Nordeste,FIOCRUZ/ASTRAZENECA,4950,2963,1987
Lago Do Junco,210580,MA,Nordeste,BUTANTAN/SINOVAC,2999,1608,1391
Lago Do Junco,210580,MA,Nordeste,PFIZER/BIONTECH,1934,1582,352
Lago Do Junco,210580,MA,Nordeste,JANSSEN,85,0,0
Lago Dos Rodrigues,210594,MA,Nordeste,FIOCRUZ/ASTRAZENECA,4841,2526,2315
Lago Dos Rodrigues,210594,MA,Nordeste,BUTANTAN/SINOVAC,3426,1785,1641
Lago Dos Rodrigues,210594,MA,Nordeste,PFIZER/BIONTECH,2212,1463,749
Lago Dos Rodrigues,210594,MA,Nordeste,JANSSEN,96,0,0
Lago Verde,210590,MA,Nordeste,FIOCRUZ/ASTRAZENECA,5897,3270,2627
Lago Verde,210590,MA,Nordeste,BUTANTAN/SINOVAC,3267,1702,1565
Lago Verde,210590,MA,Nordeste,PFIZER/BIONTECH,1729,1603,126
Lago Verde,210590,MA,Nordeste,JANSSEN,72,0,0
Lagoa,250810,PB,Nordeste,FIOCRUZ/ASTRAZENECA,2522,1287,1235
Lagoa,250810,PB,Nordeste,BUTANTAN/SINOVAC,2053,1074,979
Lagoa,250810,PB,Nordeste,PFIZER/BIONTECH,1718,1299,419
Lagoa,250810,PB,Nordeste,JANSSEN,80,0,0
Lagoa Alegre,220555,PI,Nordeste,FIOCRUZ/ASTRAZENECA,4012,2254,1758
Lagoa Alegre,220555,PI,Nordeste,BUTANTAN/SINOVAC,3365,1792,1573
Lagoa Alegre,220555,PI,Nordeste,PFIZER/BIONTECH,2834,2204,630
Lagoa Alegre,220555,PI,Nordeste,JANSSEN,109,0,0
Lagoa Bonita Do Sul,431123,RS,Sul,FIOCRUZ/ASTRAZENECA,1975,983,992
Lagoa Bonita Do Sul,431123,RS,Sul,BUTANTAN/SINOVAC,985,489,496
Lagoa Bonita Do Sul,431123,RS,Sul,PFIZER/BIONTECH,835,513,322
Lagoa Bonita Do Sul,431123,RS,Sul,JANSSEN,70,0,0
Lagoa D'Anta,240620,RN,Nordeste,FIOCRUZ/ASTRAZENECA,3349,1788,1561
Lagoa D'Anta,240620,RN,Nordeste,BUTANTAN/SINOVAC,2408,1282,1126
Lagoa D'Anta,240620,RN,Nordeste,PFIZER/BIONTECH,2369,1709,660
Lagoa D'Anta,240620,RN,Nordeste,JANSSEN,90,0,0
Lagoa Da Canoa,270410,AL,Nordeste,FIOCRUZ/ASTRAZENECA,7947,4583,3364
Lagoa Da Canoa,270410,AL,Nordeste,PFIZER/BIONTECH,7536,6300,1236
Lagoa Da Canoa,270410,AL,Nordeste,BUTANTAN/SINOVAC,4929,2554,2375
Lagoa Da Canoa,270410,AL,Nordeste,JANSSEN,153,0,0
Lagoa Da Confusão,171190,TO,Norte,FIOCRUZ/ASTRAZENECA,6212,3557,2655
Lagoa Da Confusão,171190,TO,Norte,BUTANTAN/SINOVAC,3201,1777,1424
Lagoa Da Confusão,171190,TO,Norte,PFIZER/BIONTECH,2217,2040,177
Lagoa Da Confusão,171190,TO,Norte,JANSSEN,117,0,0
Lagoa Da Prata,313720,MG,Sudeste,FIOCRUZ/ASTRAZENECA,25115,13487,11628
Lagoa Da Prata,313720,MG,Sudeste,PFIZER/BIONTECH,24246,16169,8077
Lagoa Da Prata,313720,MG,Sudeste,BUTANTAN/SINOVAC,18881,10173,8708
Lagoa Da Prata,313720,MG,Sudeste,JANSSEN,1086,0,0
Lagoa De Dentro,250820,PB,Nordeste,FIOCRUZ/ASTRAZENECA,4224,2192,2032
Lagoa De Dentro,250820,PB,Nordeste,BUTANTAN/SINOVAC,3181,1712,1469
Lagoa De Dentro,250820,PB,Nordeste,PFIZER/BIONTECH,2112,1722,390
Lagoa De Dentro,250820,PB,Nordeste,JANSSEN,127,0,0
Lagoa De Itaenga,260850,PE,Nordeste,FIOCRUZ/ASTRAZENECA,15361,8508,6853
Lagoa De Itaenga,260850,PE,Nordeste,PFIZER/BIONTECH,7404,5270,2134
Lagoa De Itaenga,260850,PE,Nordeste,BUTANTAN/SINOVAC,5901,3119,2782
Lagoa De Itaenga,260850,PE,Nordeste,JANSSEN,204,0,0
